bank_id,bank_name,city,blood_type,current_score,projected_score_72h,severity,forecast_severity,days_of_supply,computed_at
4,"Indian Red Cross Society Blood Bank, District Branch",Anantapur,O+,13,53,SAFE,FORECAST_LOW,3.3,2026-07-06T16:22:41
4,"Indian Red Cross Society Blood Bank, District Branch",Anantapur,O-,13,13,SAFE,FORECAST_SAFE,4.1,2026-07-06T16:22:41
4,"Indian Red Cross Society Blood Bank, District Branch",Anantapur,AB+,13,53,SAFE,FORECAST_LOW,3.7,2026-07-06T16:22:41
4,"Indian Red Cross Society Blood Bank, District Branch",Anantapur,AB-,83,83,CRITICAL,FORECAST_CRITICAL,0.5,2026-07-06T16:22:41
5,Government General Hospital Blood Bank,Ananthapur,A+,84,84,CRITICAL,FORECAST_CRITICAL,0.0,2026-07-06T16:22:41
5,Government General Hospital Blood Bank,Ananthapur,A-,14,14,SAFE,FORECAST_SAFE,3.9,2026-07-06T16:22:41
5,Government General Hospital Blood Bank,Ananthapur,B+,54,84,LOW,FORECAST_CRITICAL,1.0,2026-07-06T16:22:41
5,Government General Hospital Blood Bank,Ananthapur,B-,54,54,LOW,FORECAST_LOW,2.1,2026-07-06T16:22:41
5,Government General Hospital Blood Bank,Ananthapur,O+,84,84,CRITICAL,FORECAST_CRITICAL,0.6,2026-07-06T16:22:41
5,Government General Hospital Blood Bank,Ananthapur,O-,84,84,CRITICAL,FORECAST_CRITICAL,0.4,2026-07-06T16:22:41
5,Government General Hospital Blood Bank,Ananthapur,AB+,14,14,SAFE,FORECAST_SAFE,4.0,2026-07-06T16:22:41
5,Government General Hospital Blood Bank,Ananthapur,AB-,84,84,CRITICAL,FORECAST_CRITICAL,0.8,2026-07-06T16:22:41
6,Indian Red Cross Society,Ananthapur,A+,54,54,LOW,FORECAST_LOW,2.5,2026-07-06T16:22:41
6,Indian Red Cross Society,Ananthapur,A-,54,54,LOW,FORECAST_LOW,1.7,2026-07-06T16:22:41
6,Indian Red Cross Society,Ananthapur,B+,14,14,SAFE,FORECAST_SAFE,3.8,2026-07-06T16:22:41
6,Indian Red Cross Society,Ananthapur,B-,54,54,LOW,FORECAST_LOW,2.4,2026-07-06T16:22:41
6,Indian Red Cross Society,Ananthapur,O+,14,54,SAFE,FORECAST_LOW,3.2,2026-07-06T16:22:41
6,Indian Red Cross Society,Ananthapur,O-,84,84,CRITICAL,FORECAST_CRITICAL,0.2,2026-07-06T16:22:41
6,Indian Red Cross Society,Ananthapur,AB+,84,84,CRITICAL,FORECAST_CRITICAL,0.3,2026-07-06T16:22:41
6,Indian Red Cross Society,Ananthapur,AB-,14,54,SAFE,FORECAST_LOW,3.5,2026-07-06T16:22:41
7,Rural Development Trust Hospital Blood Bank,Bathalapalli,A+,19,19,SAFE,FORECAST_SAFE,3.9,2026-07-06T16:22:41
7,Rural Development Trust Hospital Blood Bank,Bathalapalli,A-,19,59,SAFE,FORECAST_LOW,3.2,2026-07-06T16:22:41
7,Rural Development Trust Hospital Blood Bank,Bathalapalli,B+,89,89,CRITICAL,FORECAST_CRITICAL,0.2,2026-07-06T16:22:41
7,Rural Development Trust Hospital Blood Bank,Bathalapalli,B-,89,89,CRITICAL,FORECAST_CRITICAL,0.8,2026-07-06T16:22:41
7,Rural Development Trust Hospital Blood Bank,Bathalapalli,O+,59,89,LOW,FORECAST_CRITICAL,1.2,2026-07-06T16:22:41
7,Rural Development Trust Hospital Blood Bank,Bathalapalli,O-,89,89,CRITICAL,FORECAST_CRITICAL,0.0,2026-07-06T16:22:41
7,Rural Development Trust Hospital Blood Bank,Bathalapalli,AB+,59,89,LOW,FORECAST_CRITICAL,1.2,2026-07-06T16:22:41
7,Rural Development Trust Hospital Blood Bank,Bathalapalli,AB-,89,89,CRITICAL,FORECAST_CRITICAL,0.0,2026-07-06T16:22:41
8,South Central Railway Hospital Blood Bank,Guntakal,A+,16,56,SAFE,FORECAST_LOW,3.3,2026-07-06T16:22:41
8,South Central Railway Hospital Blood Bank,Guntakal,A-,56,86,LOW,FORECAST_CRITICAL,1.3,2026-07-06T16:22:41
8,South Central Railway Hospital Blood Bank,Guntakal,B+,86,86,CRITICAL,FORECAST_CRITICAL,0.3,2026-07-06T16:22:41
8,South Central Railway Hospital Blood Bank,Guntakal,B-,56,86,LOW,FORECAST_CRITICAL,1.3,2026-07-06T16:22:41
8,South Central Railway Hospital Blood Bank,Guntakal,O+,56,86,LOW,FORECAST_CRITICAL,1.2,2026-07-06T16:22:41
8,South Central Railway Hospital Blood Bank,Guntakal,O-,86,86,CRITICAL,FORECAST_CRITICAL,0.2,2026-07-06T16:22:41
8,South Central Railway Hospital Blood Bank,Guntakal,AB+,86,86,CRITICAL,FORECAST_CRITICAL,0.4,2026-07-06T16:22:41
8,South Central Railway Hospital Blood Bank,Guntakal,AB-,56,56,LOW,FORECAST_LOW,2.0,2026-07-06T16:22:41
9,Indian Red Cross Society Blood Bank,Hindupur,A+,14,54,SAFE,FORECAST_LOW,3.0,2026-07-06T16:22:41
9,Indian Red Cross Society Blood Bank,Hindupur,A-,54,54,LOW,FORECAST_LOW,1.8,2026-07-06T16:22:41
9,Indian Red Cross Society Blood Bank,Hindupur,B+,54,54,LOW,FORECAST_LOW,2.2,2026-07-06T16:22:41
9,Indian Red Cross Society Blood Bank,Hindupur,B-,14,54,SAFE,FORECAST_LOW,3.1,2026-07-06T16:22:41
9,Indian Red Cross Society Blood Bank,Hindupur,O+,54,54,LOW,FORECAST_LOW,2.0,2026-07-06T16:22:41
9,Indian Red Cross Society Blood Bank,Hindupur,O-,84,84,CRITICAL,FORECAST_CRITICAL,0.4,2026-07-06T16:22:41
9,Indian Red Cross Society Blood Bank,Hindupur,AB+,54,84,LOW,FORECAST_CRITICAL,1.4,2026-07-06T16:22:41
9,Indian Red Cross Society Blood Bank,Hindupur,AB-,54,84,LOW,FORECAST_CRITICAL,1.6,2026-07-06T16:22:41
10,Indian Red Cross Society Blood bank RCH -II KADIRI,Kadiri,A+,56,86,LOW,FORECAST_CRITICAL,1.2,2026-07-06T16:22:41
10,Indian Red Cross Society Blood bank RCH -II KADIRI,Kadiri,A-,16,56,SAFE,FORECAST_LOW,3.3,2026-07-06T16:22:41
10,Indian Red Cross Society Blood bank RCH -II KADIRI,Kadiri,B+,16,56,SAFE,FORECAST_LOW,3.4,2026-07-06T16:22:41
10,Indian Red Cross Society Blood bank RCH -II KADIRI,Kadiri,B-,56,56,LOW,FORECAST_LOW,2.1,2026-07-06T16:22:41
10,Indian Red Cross Society Blood bank RCH -II KADIRI,Kadiri,O+,56,56,LOW,FORECAST_LOW,2.5,2026-07-06T16:22:41
10,Indian Red Cross Society Blood bank RCH -II KADIRI,Kadiri,O-,56,86,LOW,FORECAST_CRITICAL,1.1,2026-07-06T16:22:41
10,Indian Red Cross Society Blood bank RCH -II KADIRI,Kadiri,AB+,56,56,LOW,FORECAST_LOW,2.7,2026-07-06T16:22:41
10,Indian Red Cross Society Blood bank RCH -II KADIRI,Kadiri,AB-,56,56,LOW,FORECAST_LOW,2.4,2026-07-06T16:22:41
11,S.S.S.I.H.M.S. Blood Bank,Puttaparthy,A+,57,57,LOW,FORECAST_LOW,1.9,2026-07-06T16:22:41
11,S.S.S.I.H.M.S. Blood Bank,Puttaparthy,A-,17,57,SAFE,FORECAST_LOW,2.9,2026-07-06T16:22:41
11,S.S.S.I.H.M.S. Blood Bank,Puttaparthy,B+,57,57,LOW,FORECAST_LOW,2.4,2026-07-06T16:22:41
11,S.S.S.I.H.M.S. Blood Bank,Puttaparthy,B-,57,57,LOW,FORECAST_LOW,2.5,2026-07-06T16:22:41
11,S.S.S.I.H.M.S. Blood Bank,Puttaparthy,O+,17,57,SAFE,FORECAST_LOW,3.5,2026-07-06T16:22:41
11,S.S.S.I.H.M.S. Blood Bank,Puttaparthy,O-,17,57,SAFE,FORECAST_LOW,3.2,2026-07-06T16:22:41
11,S.S.S.I.H.M.S. Blood Bank,Puttaparthy,AB+,87,87,CRITICAL,FORECAST_CRITICAL,0.8,2026-07-06T16:22:41
11,S.S.S.I.H.M.S. Blood Bank,Puttaparthy,AB-,57,57,LOW,FORECAST_LOW,2.6,2026-07-06T16:22:41
12,District Head Quarters Hospital Blood Bank. ,Chittoor,A+,57,57,LOW,FORECAST_LOW,2.4,2026-07-06T16:22:41
12,District Head Quarters Hospital Blood Bank. ,Chittoor,A-,17,17,SAFE,FORECAST_SAFE,3.8,2026-07-06T16:22:41
12,District Head Quarters Hospital Blood Bank. ,Chittoor,B+,57,57,LOW,FORECAST_LOW,2.8,2026-07-06T16:22:41
12,District Head Quarters Hospital Blood Bank. ,Chittoor,B-,57,57,LOW,FORECAST_LOW,1.7,2026-07-06T16:22:41
12,District Head Quarters Hospital Blood Bank. ,Chittoor,O+,87,87,CRITICAL,FORECAST_CRITICAL,0.4,2026-07-06T16:22:41
12,District Head Quarters Hospital Blood Bank. ,Chittoor,O-,17,57,SAFE,FORECAST_LOW,3.7,2026-07-06T16:22:41
12,District Head Quarters Hospital Blood Bank. ,Chittoor,AB+,17,17,SAFE,FORECAST_SAFE,3.7,2026-07-06T16:22:41
12,District Head Quarters Hospital Blood Bank. ,Chittoor,AB-,87,87,CRITICAL,FORECAST_CRITICAL,0.6,2026-07-06T16:22:41
13,Indian Red Cross Society,Chittoor,A+,17,57,SAFE,FORECAST_LOW,3.5,2026-07-06T16:22:41
13,Indian Red Cross Society,Chittoor,A-,57,57,LOW,FORECAST_LOW,2.7,2026-07-06T16:22:41
13,Indian Red Cross Society,Chittoor,B+,17,57,SAFE,FORECAST_LOW,3.3,2026-07-06T16:22:41
13,Indian Red Cross Society,Chittoor,B-,57,57,LOW,FORECAST_LOW,1.8,2026-07-06T16:22:41
13,Indian Red Cross Society,Chittoor,O+,87,87,CRITICAL,FORECAST_CRITICAL,0.8,2026-07-06T16:22:41
13,Indian Red Cross Society,Chittoor,O-,87,87,CRITICAL,FORECAST_CRITICAL,0.0,2026-07-06T16:22:41
13,Indian Red Cross Society,Chittoor,AB+,17,57,SAFE,FORECAST_LOW,3.5,2026-07-06T16:22:41
13,Indian Red Cross Society,Chittoor,AB-,57,87,LOW,FORECAST_CRITICAL,1.7,2026-07-06T16:22:41
14,M/s IRCS Blood Bank.,Chittoor,A+,57,57,LOW,FORECAST_LOW,2.0,2026-07-06T16:22:41
14,M/s IRCS Blood Bank.,Chittoor,A-,17,57,SAFE,FORECAST_LOW,3.5,2026-07-06T16:22:41
14,M/s IRCS Blood Bank.,Chittoor,B+,87,87,CRITICAL,FORECAST_CRITICAL,0.8,2026-07-06T16:22:41
14,M/s IRCS Blood Bank.,Chittoor,B-,57,87,LOW,FORECAST_CRITICAL,1.0,2026-07-06T16:22:41
14,M/s IRCS Blood Bank.,Chittoor,O+,17,57,SAFE,FORECAST_LOW,3.6,2026-07-06T16:22:41
14,M/s IRCS Blood Bank.,Chittoor,O-,17,17,SAFE,FORECAST_SAFE,4.0,2026-07-06T16:22:41
14,M/s IRCS Blood Bank.,Chittoor,AB+,57,87,LOW,FORECAST_CRITICAL,0.9,2026-07-06T16:22:41
14,M/s IRCS Blood Bank.,Chittoor,AB-,87,87,CRITICAL,FORECAST_CRITICAL,0.0,2026-07-06T16:22:41
15,M/s PESIMSR Blood Bank.,Kuppam,A+,57,87,LOW,FORECAST_CRITICAL,1.0,2026-07-06T16:22:41
15,M/s PESIMSR Blood Bank.,Kuppam,A-,17,17,SAFE,FORECAST_SAFE,3.9,2026-07-06T16:22:41
15,M/s PESIMSR Blood Bank.,Kuppam,B+,17,57,SAFE,FORECAST_LOW,3.4,2026-07-06T16:22:41
15,M/s PESIMSR Blood Bank.,Kuppam,B-,87,87,CRITICAL,FORECAST_CRITICAL,0.8,2026-07-06T16:22:41
15,M/s PESIMSR Blood Bank.,Kuppam,O+,87,87,CRITICAL,FORECAST_CRITICAL,0.7,2026-07-06T16:22:41
15,M/s PESIMSR Blood Bank.,Kuppam,O-,87,87,CRITICAL,FORECAST_CRITICAL,0.4,2026-07-06T16:22:41
15,M/s PESIMSR Blood Bank.,Kuppam,AB+,57,87,LOW,FORECAST_CRITICAL,1.2,2026-07-06T16:22:41
15,M/s PESIMSR Blood Bank.,Kuppam,AB-,57,57,LOW,FORECAST_LOW,2.0,2026-07-06T16:22:41
16,Blood Bank AH Madanapalli,Madanapalli,A+,19,59,SAFE,FORECAST_LOW,2.9,2026-07-06T16:22:41
16,Blood Bank AH Madanapalli,Madanapalli,A-,59,59,LOW,FORECAST_LOW,2.3,2026-07-06T16:22:41
16,Blood Bank AH Madanapalli,Madanapalli,B+,19,59,SAFE,FORECAST_LOW,3.4,2026-07-06T16:22:41
16,Blood Bank AH Madanapalli,Madanapalli,B-,59,89,LOW,FORECAST_CRITICAL,1.4,2026-07-06T16:22:41
16,Blood Bank AH Madanapalli,Madanapalli,O+,89,89,CRITICAL,FORECAST_CRITICAL,0.1,2026-07-06T16:22:41
16,Blood Bank AH Madanapalli,Madanapalli,O-,59,89,LOW,FORECAST_CRITICAL,1.0,2026-07-06T16:22:41
16,Blood Bank AH Madanapalli,Madanapalli,AB+,59,89,LOW,FORECAST_CRITICAL,0.9,2026-07-06T16:22:41
16,Blood Bank AH Madanapalli,Madanapalli,AB-,19,59,SAFE,FORECAST_LOW,3.5,2026-07-06T16:22:41
17,"Indian Red Cross Society, Madanapalli RCH 2",Madnapalli,A+,56,56,LOW,FORECAST_LOW,2.8,2026-07-06T16:22:41
17,"Indian Red Cross Society, Madanapalli RCH 2",Madnapalli,A-,56,56,LOW,FORECAST_LOW,2.2,2026-07-06T16:22:41
17,"Indian Red Cross Society, Madanapalli RCH 2",Madnapalli,B+,86,86,CRITICAL,FORECAST_CRITICAL,0.2,2026-07-06T16:22:41
17,"Indian Red Cross Society, Madanapalli RCH 2",Madnapalli,B-,56,56,LOW,FORECAST_LOW,2.8,2026-07-06T16:22:41
17,"Indian Red Cross Society, Madanapalli RCH 2",Madnapalli,O+,16,56,SAFE,FORECAST_LOW,3.6,2026-07-06T16:22:41
17,"Indian Red Cross Society, Madanapalli RCH 2",Madnapalli,O-,56,86,LOW,FORECAST_CRITICAL,1.1,2026-07-06T16:22:41
17,"Indian Red Cross Society, Madanapalli RCH 2",Madnapalli,AB+,56,86,LOW,FORECAST_CRITICAL,0.9,2026-07-06T16:22:41
17,"Indian Red Cross Society, Madanapalli RCH 2",Madnapalli,AB-,16,16,SAFE,FORECAST_SAFE,4.2,2026-07-06T16:22:41
18,"Aswini Hospital Blood Bank, TTD",Tirumala,A+,54,54,LOW,FORECAST_LOW,1.9,2026-07-06T16:22:41
18,"Aswini Hospital Blood Bank, TTD",Tirumala,A-,14,14,SAFE,FORECAST_SAFE,4.0,2026-07-06T16:22:41
18,"Aswini Hospital Blood Bank, TTD",Tirumala,B+,54,54,LOW,FORECAST_LOW,2.3,2026-07-06T16:22:41
18,"Aswini Hospital Blood Bank, TTD",Tirumala,B-,14,54,SAFE,FORECAST_LOW,3.3,2026-07-06T16:22:41
18,"Aswini Hospital Blood Bank, TTD",Tirumala,O+,54,54,LOW,FORECAST_LOW,2.0,2026-07-06T16:22:41
18,"Aswini Hospital Blood Bank, TTD",Tirumala,O-,14,54,SAFE,FORECAST_LOW,3.2,2026-07-06T16:22:41
18,"Aswini Hospital Blood Bank, TTD",Tirumala,AB+,14,54,SAFE,FORECAST_LOW,3.5,2026-07-06T16:22:41
18,"Aswini Hospital Blood Bank, TTD",Tirumala,AB-,14,54,SAFE,FORECAST_LOW,3.1,2026-07-06T16:22:41
19,SVRRGGH - Model Blood Bank,Tirupati,A+,20,60,SAFE,FORECAST_LOW,3.4,2026-07-06T16:22:41
19,SVRRGGH - Model Blood Bank,Tirupati,A-,60,60,LOW,FORECAST_LOW,2.5,2026-07-06T16:22:41
19,SVRRGGH - Model Blood Bank,Tirupati,B+,20,60,SAFE,FORECAST_LOW,2.9,2026-07-06T16:22:41
19,SVRRGGH - Model Blood Bank,Tirupati,B-,20,20,SAFE,FORECAST_SAFE,4.0,2026-07-06T16:22:41
19,SVRRGGH - Model Blood Bank,Tirupati,O+,60,60,LOW,FORECAST_LOW,2.1,2026-07-06T16:22:41
19,SVRRGGH - Model Blood Bank,Tirupati,O-,20,20,SAFE,FORECAST_SAFE,4.0,2026-07-06T16:22:41
19,SVRRGGH - Model Blood Bank,Tirupati,AB+,60,90,LOW,FORECAST_CRITICAL,1.4,2026-07-06T16:22:41
19,SVRRGGH - Model Blood Bank,Tirupati,AB-,20,60,SAFE,FORECAST_LOW,3.1,2026-07-06T16:22:41
20,Sri Venkateswara Institute of Medical sciences Blood Bank,Tirupati,A+,54,54,LOW,FORECAST_LOW,2.3,2026-07-06T16:22:41
20,Sri Venkateswara Institute of Medical sciences Blood Bank,Tirupati,A-,54,54,LOW,FORECAST_LOW,2.4,2026-07-06T16:22:41
20,Sri Venkateswara Institute of Medical sciences Blood Bank,Tirupati,B+,14,54,SAFE,FORECAST_LOW,3.3,2026-07-06T16:22:41
20,Sri Venkateswara Institute of Medical sciences Blood Bank,Tirupati,B-,54,84,LOW,FORECAST_CRITICAL,1.2,2026-07-06T16:22:41
20,Sri Venkateswara Institute of Medical sciences Blood Bank,Tirupati,O+,54,84,LOW,FORECAST_CRITICAL,1.4,2026-07-06T16:22:41
20,Sri Venkateswara Institute of Medical sciences Blood Bank,Tirupati,O-,54,54,LOW,FORECAST_LOW,2.0,2026-07-06T16:22:41
20,Sri Venkateswara Institute of Medical sciences Blood Bank,Tirupati,AB+,84,84,CRITICAL,FORECAST_CRITICAL,0.2,2026-07-06T16:22:41
20,Sri Venkateswara Institute of Medical sciences Blood Bank,Tirupati,AB-,54,54,LOW,FORECAST_LOW,2.2,2026-07-06T16:22:41
21,Govt Maternity Hospital Blood Bank,Tirupati,A+,53,53,LOW,FORECAST_LOW,2.1,2026-07-06T16:22:41
21,Govt Maternity Hospital Blood Bank,Tirupati,A-,53,53,LOW,FORECAST_LOW,1.8,2026-07-06T16:22:41
21,Govt Maternity Hospital Blood Bank,Tirupati,B+,13,53,SAFE,FORECAST_LOW,2.9,2026-07-06T16:22:41
21,Govt Maternity Hospital Blood Bank,Tirupati,B-,53,53,LOW,FORECAST_LOW,2.8,2026-07-06T16:22:41
21,Govt Maternity Hospital Blood Bank,Tirupati,O+,53,83,LOW,FORECAST_CRITICAL,1.7,2026-07-06T16:22:41
21,Govt Maternity Hospital Blood Bank,Tirupati,O-,13,53,SAFE,FORECAST_LOW,3.4,2026-07-06T16:22:41
21,Govt Maternity Hospital Blood Bank,Tirupati,AB+,53,53,LOW,FORECAST_LOW,1.6,2026-07-06T16:22:41
21,Govt Maternity Hospital Blood Bank,Tirupati,AB-,83,83,CRITICAL,FORECAST_CRITICAL,0.6,2026-07-06T16:22:41
22, TTD Central Hospital Blood Bank,Tirupati,A+,20,60,SAFE,FORECAST_LOW,3.0,2026-07-06T16:22:41
22, TTD Central Hospital Blood Bank,Tirupati,A-,90,90,CRITICAL,FORECAST_CRITICAL,0.4,2026-07-06T16:22:41
22, TTD Central Hospital Blood Bank,Tirupati,B+,20,60,SAFE,FORECAST_LOW,2.9,2026-07-06T16:22:41
22, TTD Central Hospital Blood Bank,Tirupati,B-,90,90,CRITICAL,FORECAST_CRITICAL,0.0,2026-07-06T16:22:41
22, TTD Central Hospital Blood Bank,Tirupati,O+,60,60,LOW,FORECAST_LOW,2.5,2026-07-06T16:22:41
22, TTD Central Hospital Blood Bank,Tirupati,O-,60,90,LOW,FORECAST_CRITICAL,1.4,2026-07-06T16:22:41
22, TTD Central Hospital Blood Bank,Tirupati,AB+,90,90,CRITICAL,FORECAST_CRITICAL,0.1,2026-07-06T16:22:41
22, TTD Central Hospital Blood Bank,Tirupati,AB-,60,90,LOW,FORECAST_CRITICAL,1.5,2026-07-06T16:22:41
24,Government Hospital,Amalapuram,A+,59,59,LOW,FORECAST_LOW,1.8,2026-07-06T16:22:41
24,Government Hospital,Amalapuram,A-,89,89,CRITICAL,FORECAST_CRITICAL,0.8,2026-07-06T16:22:41
24,Government Hospital,Amalapuram,B+,19,19,SAFE,FORECAST_SAFE,4.1,2026-07-06T16:22:41
24,Government Hospital,Amalapuram,B-,59,59,LOW,FORECAST_LOW,1.9,2026-07-06T16:22:41
24,Government Hospital,Amalapuram,O+,89,89,CRITICAL,FORECAST_CRITICAL,0.3,2026-07-06T16:22:41
24,Government Hospital,Amalapuram,O-,59,59,LOW,FORECAST_LOW,2.3,2026-07-06T16:22:41
24,Government Hospital,Amalapuram,AB+,89,89,CRITICAL,FORECAST_CRITICAL,0.3,2026-07-06T16:22:41
24,Government Hospital,Amalapuram,AB-,19,59,SAFE,FORECAST_LOW,3.1,2026-07-06T16:22:41
25,"M/S. Kims & Research Foundation, Hospital Blood Bank",Amalapuram,A+,59,89,LOW,FORECAST_CRITICAL,1.0,2026-07-06T16:22:41
25,"M/S. Kims & Research Foundation, Hospital Blood Bank",Amalapuram,A-,89,89,CRITICAL,FORECAST_CRITICAL,0.1,2026-07-06T16:22:41
25,"M/S. Kims & Research Foundation, Hospital Blood Bank",Amalapuram,B+,89,89,CRITICAL,FORECAST_CRITICAL,0.0,2026-07-06T16:22:41
25,"M/S. Kims & Research Foundation, Hospital Blood Bank",Amalapuram,B-,59,89,LOW,FORECAST_CRITICAL,1.6,2026-07-06T16:22:41
25,"M/S. Kims & Research Foundation, Hospital Blood Bank",Amalapuram,O+,59,59,LOW,FORECAST_LOW,2.4,2026-07-06T16:22:41
25,"M/S. Kims & Research Foundation, Hospital Blood Bank",Amalapuram,O-,59,59,LOW,FORECAST_LOW,2.5,2026-07-06T16:22:41
25,"M/S. Kims & Research Foundation, Hospital Blood Bank",Amalapuram,AB+,19,59,SAFE,FORECAST_LOW,2.9,2026-07-06T16:22:41
25,"M/S. Kims & Research Foundation, Hospital Blood Bank",Amalapuram,AB-,89,89,CRITICAL,FORECAST_CRITICAL,0.7,2026-07-06T16:22:41
26,M/s. A.P.V.V.P Area Hospital Blood Bank  ,Amalapuram,A+,53,53,LOW,FORECAST_LOW,1.7,2026-07-06T16:22:41
26,M/s. A.P.V.V.P Area Hospital Blood Bank  ,Amalapuram,A-,53,53,LOW,FORECAST_LOW,2.2,2026-07-06T16:22:41
26,M/s. A.P.V.V.P Area Hospital Blood Bank  ,Amalapuram,B+,53,83,LOW,FORECAST_CRITICAL,1.5,2026-07-06T16:22:41
26,M/s. A.P.V.V.P Area Hospital Blood Bank  ,Amalapuram,B-,53,83,LOW,FORECAST_CRITICAL,1.6,2026-07-06T16:22:41
26,M/s. A.P.V.V.P Area Hospital Blood Bank  ,Amalapuram,O+,13,53,SAFE,FORECAST_LOW,2.9,2026-07-06T16:22:41
26,M/s. A.P.V.V.P Area Hospital Blood Bank  ,Amalapuram,O-,83,83,CRITICAL,FORECAST_CRITICAL,0.7,2026-07-06T16:22:41
26,M/s. A.P.V.V.P Area Hospital Blood Bank  ,Amalapuram,AB+,53,83,LOW,FORECAST_CRITICAL,1.3,2026-07-06T16:22:41
26,M/s. A.P.V.V.P Area Hospital Blood Bank  ,Amalapuram,AB-,53,53,LOW,FORECAST_LOW,1.9,2026-07-06T16:22:41
27,"M/s. Government General Hospital, Blood Bank.",Kakinada,A+,14,14,SAFE,FORECAST_SAFE,4.1,2026-07-06T16:22:41
27,"M/s. Government General Hospital, Blood Bank.",Kakinada,A-,54,84,LOW,FORECAST_CRITICAL,1.4,2026-07-06T16:22:41
27,"M/s. Government General Hospital, Blood Bank.",Kakinada,B+,54,54,LOW,FORECAST_LOW,2.4,2026-07-06T16:22:41
27,"M/s. Government General Hospital, Blood Bank.",Kakinada,B-,54,84,LOW,FORECAST_CRITICAL,1.6,2026-07-06T16:22:41
27,"M/s. Government General Hospital, Blood Bank.",Kakinada,O+,84,84,CRITICAL,FORECAST_CRITICAL,0.1,2026-07-06T16:22:41
27,"M/s. Government General Hospital, Blood Bank.",Kakinada,O-,84,84,CRITICAL,FORECAST_CRITICAL,0.3,2026-07-06T16:22:41
